individual	tax	abundance	group
Y3M2	Otu30	0.0006673403626518199	y
Y4M2	Otu30	7.606105167080777e-05	y
RC1	Otu30	0.0	r
RC2	Otu30	0.0	r
RC3	Otu30	0.0	r
YQ1	Otu30	0.0009732917298829187	y
RQ1	Otu30	0.003006524157421605	r
Y0J1	Otu30	0.01524432051926681	yj
R0J1	Otu30	0.0006255761885947584	rj
Y0J2	Otu30	0.0014460511679644048	yj
R0J2	Otu30	0.0010198324870893548	rj
YQ2	Otu30	0.0008434504792332268	y
RQ2	Otu30	0.00232249502322495	r
YQ3	Otu30	0.00017475097985370847	y
RQ3	Otu30	0.006441957313899011	r
Y0J3	Otu30	0.0005861664712778429	yj
R0J3	Otu30	0.0005654140570633264	rj
Y7J1	Otu30	0.018749726201428132	yj
R7J1	Otu30	0.02527437400106553	rj
RGR1	Otu420	0.0	r
RGO1	Otu420	0.0	r
RYE2	Otu420	5.448700484934343e-05	r
RWH2	Otu420	0.0	r
RYE1	Otu420	0.0	r
RBL2	Otu420	0.0	r
RGR2	Otu420	0.0	r
RGO2	Otu420	0.0	r
YYE1	Otu420	0.0	y
YWH1	Otu420	0.0	y
RWH1	Otu420	0.0	r
YBL1	Otu420	0.0	y
YGR1	Otu420	0.0	y
YGO1	Otu420	0.0	y
YYE2	Otu420	0.0	y
YWH2	Otu420	4.18997339366895e-05	y
YBL2	Otu420	0.0	y
YGR2	Otu420	0.0	y
YGO2	Otu420	0.0	y
RBL1	Otu420	0.0	r
E28	Otu420	0.0	zzs
E29	Otu420	0.0	zzd
RC4	Otu420	0.0	r
YC1	Otu420	0.0	y
YC2	Otu420	0.0	y
YC3	Otu420	0.0	y
YC4	Otu420	0.0	y
R1M1	Otu420	0.0	r
R2M1	Otu420	0.0	r
Y1M1	Otu420	0.0	y
Y2M1	Otu420	0.0	y
RC5	Otu420	0.0	r
RC6	Otu420	0.0	r
RC7	Otu420	0.00027077208726597555	r
YC5	Otu420	0.0	y
YC6	Otu420	0.0	y
YC7	Otu420	0.0	y
R3M2	Otu420	0.0	r
R4M2	Otu420	0.0	r
